A|MAN GLB US|CTM|Treasury|06/17/2020|USD|||3090680.89|||||||||||||||||JUN-2020|00444|111052|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||Home Office 2 Fact Fund Oracle|20200617213650379437||||||||||||||||||
A|MAN GLB US|CTM|Treasury|06/17/2020|USD|||19133415.17|||||||||||||||||JUN-2020|00444|111055|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||Home Office General Global|20200617213650379438||||||||||||||||||
A|MAN GLB US|CTM|Treasury|06/17/2020|USD|||21703251.70|||||||||||||||||JUN-2020|00251|111037|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||DSC Floor Plan|20200617213650379439||||||||||||||||||
A|MAN GLB US|CTM|Treasury|06/17/2020|USD||||3207267.75||||||||||||||||JUN-2020|00444|111008|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||G2G Cash & Check Dep BOA|20200617213650379440||||||||||||||||||
A|MAN GLB US|CTM|Treasury|06/17/2020|USD||||2955.00||||||||||||||||JUN-2020|00444|111050|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||Home Office Fact Fund Oracle|20200617213650379441||||||||||||||||||
A|MAN GLB US|CTM|Treasury|06/17/2020|USD|||5.00|||||||||||||||||JUN-2020|00444|111050|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||Home Office Fact Fund Oracle|20200617213650379442||||||||||||||||||
A|MAN GLB US|CTM|Treasury|06/17/2020|USD|||15.00|||||||||||||||||JUN-2020|00444|111050|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||Home Office Fact Fund Oracle|20200617213650379443||||||||||||||||||
A|MAN GLB US|CTM|Treasury|06/17/2020|USD|||25.00|||||||||||||||||JUN-2020|00444|111050|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||Home Office Fact Fund Oracle|20200617213650379444||||||||||||||||||
A|MAN GLB US|CTM|Treasury|06/17/2020|USD|||37.50|||||||||||||||||JUN-2020|00444|111050|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||Home Office Fact Fund Oracle|20200617213650379445||||||||||||||||||
A|MAN GLB US|CTM|Treasury|06/17/2020|USD|||45.00|||||||||||||||||JUN-2020|00444|111050|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||Home Office Fact Fund Oracle|20200617213650379446||||||||||||||||||
A|MAN GLB US|CTM|Treasury|06/17/2020|USD|||60.00|||||||||||||||||JUN-2020|00444|111050|0000|000|000|00000|0000||||Treasury Cash Sweep Jun/17/2020|Treasury Cash Sweep Jun/17/2020|||||Home Office Fact Fund Oracle|20200617213650379447||||||||||||||||||
